SEP=;
id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2018-743301";"2018-12-10";"1";"Vente";"172000.0";"7.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0059";"None";"None";"23";"63.09";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"64.0";"3.0";"None";"None";"None";"None";"nan";"2.644406";"48.844072";"000AE"
"2018-743301";"2018-12-10";"1";"Vente";"172000.0";"7.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0059";"None";"None";"120";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.644406";"48.844072";"000AE"
"2018-743274";"2018-12-07";"1";"Vente";"195000.0";"6.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0091";"None";"None";"137";"74.35";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"74.0";"3.0";"None";"None";"None";"None";"nan";"2.642604";"48.844414";"000AE"
"2018-743274";"2018-12-07";"1";"Vente";"195000.0";"6.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0091";"None";"None";"159";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.642604";"48.844414";"000AE"
"2018-742961";"2018-11-30";"1";"Vente";"1.0";"nan";"None";"RUE DE PARIS";"0390";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0205";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"9.0";"2.643598";"48.849513";"000AE"
"2018-742961";"2018-11-30";"1";"Vente";"1.0";"nan";"None";"RUE DE PARIS";"0390";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0206";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"50.0";"2.643237";"48.84947";"000AE"
"2018-742961";"2018-11-30";"1";"Vente";"1.0";"nan";"None";"RUE DE PARIS";"0390";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0207";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"1.0";"2.643302";"48.849472";"000AE"
"2018-742961";"2018-11-30";"1";"Vente";"1.0";"nan";"None";"RUE DE PARIS";"0390";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0214";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"298.0";"2.642714";"48.849404";"000AE"
"2018-742961";"2018-11-30";"1";"Vente";"1.0";"nan";"None";"PROM DU GALION";"0177";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0122";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"1455.0";"2.641667";"48.847022";"000AE"
"2018-742961";"2018-11-30";"1";"Vente";"1.0";"nan";"None";"PROM DU GALION";"0177";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0146";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"1427.0";"2.643581";"48.846778";"000AE"
"2018-742961";"2018-11-30";"1";"Vente";"1.0";"nan";"None";"RUE DE PARIS";"0390";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0204";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"125.0";"2.643442";"48.849517";"000AE"
"2018-742961";"2018-11-30";"1";"Vente";"1.0";"nan";"None";"LE QUINQUONCE";"B040";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0038";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"T";"terres";"None";"None";"820.0";"2.641177";"48.849415";"000AE"
"2018-742961";"2018-11-30";"1";"Vente";"1.0";"nan";"None";"RUE DE PARIS";"0390";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0040";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"38.0";"2.643195";"48.849493";"000AE"
"2018-742447";"2018-11-12";"1";"Vente";"169000.0";"3.0";"None";"ALL DE LA CARAVELLE";"0084";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0158";"None";"None";"27";"64.83";"36";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"66.0";"3.0";"None";"None";"None";"None";"nan";"2.644128";"48.846618";"000AE"
"2018-742447";"2018-11-12";"1";"Vente";"169000.0";"3.0";"None";"ALL DE LA CARAVELLE";"0084";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0158";"None";"None";"40";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.644128";"48.846618";"000AE"
"2018-744651";"2018-11-08";"1";"Adjudication";"71000.0";"4.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0097";"None";"None";"317";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"19.0";"1.0";"None";"None";"None";"None";"nan";"2.643909";"48.844734";"000AE"
"2018-742053";"2018-10-31";"1";"Vente";"250000.0";"1.0";"None";"ALL LA PEROUSE";"0275";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0021";"None";"None";"13";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"91.0";"4.0";"S";"sols";"None";"None";"89.0";"2.640977";"48.847877";"000AE"
"2018-741575";"2018-10-19";"1";"Vente";"255000.0";"7.0";"None";"ALL DUMONT D URVILLE";"0127";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0021";"None";"None";"26";"92.88";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"91.0";"4.0";"S";"sols";"None";"None";"101.0";"2.640977";"48.847877";"000AE"
"2018-741236";"2018-10-11";"1";"Vente";"224000.0";"13.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0059";"None";"None";"68";"76.81";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"76.0";"4.0";"None";"None";"None";"None";"nan";"2.644406";"48.844072";"000AE"
"2018-741236";"2018-10-11";"1";"Vente";"224000.0";"7.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0059";"None";"None";"88";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.644406";"48.844072";"000AE"
"2018-741093";"2018-10-05";"1";"Vente";"196260.0";"2.0";"None";"RUE VICTOR HUGO";"0491";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0057";"None";"None";"34";"67.21";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"69.0";"3.0";"None";"None";"None";"None";"nan";"2.644865";"48.84416";"000AE"
"2018-741093";"2018-10-05";"1";"Vente";"196260.0";"2.0";"None";"RUE VICTOR HUGO";"0491";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0057";"None";"None";"90";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.644865";"48.84416";"000AE"
"2018-741540";"2018-09-29";"1";"Vente";"107000.0";"4.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0097";"None";"None";"322";"24.67";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"24.0";"1.0";"None";"None";"None";"None";"nan";"2.643909";"48.844734";"000AE"
"2018-741540";"2018-09-29";"1";"Vente";"107000.0";"2.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0097";"None";"None";"422";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.643909";"48.844734";"000AE"
"2018-740229";"2018-09-12";"1";"Vente";"200000.0";"8.0";"None";"CRS DE L ARCHE GUEDON";"0008";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0002";"None";"None";"203";"66.22";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"67.0";"3.0";"None";"None";"None";"None";"nan";"2.639724";"48.848981";"000AE"
"2018-740229";"2018-09-12";"1";"Vente";"200000.0";"1.0";"B";"ALL DES VERGERS";"0489";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0004";"None";"None";"22";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.641593";"48.849258";"000AE"
"2018-740054";"2018-08-14";"1";"Vente";"98000.0";"7.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0059";"None";"None";"16";"33.91";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"33.0";"1.0";"None";"None";"None";"None";"nan";"2.644406";"48.844072";"000AE"
"2018-740054";"2018-08-14";"1";"Vente";"98000.0";"7.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0059";"None";"None";"131";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.644406";"48.844072";"000AE"
"2018-739742";"2018-08-04";"1";"Vente";"275000.0";"12.0";"None";"ALL DES VERGERS";"0489";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0015";"None";"None";"8";"91.25";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"91.0";"4.0";"S";"sols";"None";"None";"74.0";"2.639248";"48.848453";"000AE"
"2018-739053";"2018-07-06";"1";"Vente";"187000.0";"6.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0091";"None";"None";"118";"58.93";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"59.0";"3.0";"None";"None";"None";"None";"nan";"2.642604";"48.844414";"000AE"
"2018-739053";"2018-07-06";"1";"Vente";"187000.0";"6.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0091";"None";"None";"150";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.642604";"48.844414";"000AE"
"2018-737927";"2018-06-29";"1";"Vente";"195000.0";"13.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0059";"None";"None";"67";"76.51";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"76.0";"4.0";"None";"None";"None";"None";"nan";"2.644406";"48.844072";"000AE"
"2018-737927";"2018-06-29";"1";"Vente";"195000.0";"7.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0059";"None";"None";"87";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.644406";"48.844072";"000AE"
"2018-737849";"2018-06-26";"1";"Vente";"130000.0";"6.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0091";"None";"None";"130";"57.71";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"57.0";"3.0";"None";"None";"None";"None";"nan";"2.642604";"48.844414";"000AE"
"2018-737849";"2018-06-26";"1";"Vente";"130000.0";"6.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0091";"None";"None";"142";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.642604";"48.844414";"000AE"
"2018-737888";"2018-06-22";"1";"Vente";"205000.0";"5.0";"None";"ALL PIROUETTE";"0441";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0002";"None";"None";"263";"70.23";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"67.0";"3.0";"None";"None";"None";"None";"nan";"2.639724";"48.848981";"000AE"
"2018-737888";"2018-06-22";"1";"Vente";"205000.0";"1.0";"B";"ALL DES VERGERS";"0489";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0004";"None";"None";"8";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.641593";"48.849258";"000AE"
"2018-736459";"2018-04-27";"1";"Vente";"265000.0";"5.0";"None";"ALL LA PEROUSE";"0275";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0021";"None";"None";"15";"100.32";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"118.0";"5.0";"S";"sols";"None";"None";"1.0";"2.640977";"48.847877";"000AE"
"2018-736477";"2018-03-30";"1";"Vente";"185000.0";"2.0";"None";"RUE VICTOR HUGO";"0491";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0057";"None";"None";"41";"66.53";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"66.0";"3.0";"None";"None";"None";"None";"nan";"2.644865";"48.84416";"000AE"
"2018-736477";"2018-03-30";"1";"Vente";"185000.0";"2.0";"None";"RUE VICTOR HUGO";"0491";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0057";"None";"None";"84";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.644865";"48.84416";"000AE"
"2018-735350";"2018-03-27";"1";"Vente";"115000.0";"6.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0091";"None";"None";"111";"29.06";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"28.0";"1.0";"None";"None";"None";"None";"nan";"2.642604";"48.844414";"000AE"
"2018-735350";"2018-03-27";"1";"Vente";"115000.0";"13.0";"None";"RUE VICTOR HUGO";"0491";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0091";"None";"None";"204";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.642604";"48.844414";"000AE"
"2018-735085";"2018-03-16";"1";"Vente";"134000.0";"3.0";"None";"RUE CHARLES BAUDELAIRE";"0101";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0061";"None";"None";"245";"50.66";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"52.0";"2.0";"None";"None";"None";"None";"nan";"2.646012";"48.843945";"000AE"
"2018-735085";"2018-03-16";"1";"Vente";"134000.0";"3.0";"None";"RUE CHARLES BAUDELAIRE";"0101";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0061";"None";"None";"309";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.646012";"48.843945";"000AE"
"2018-734897";"2018-02-22";"1";"Vente";"113000.0";"6.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0091";"None";"None";"115";"27.75";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"27.0";"1.0";"None";"None";"None";"None";"nan";"2.642604";"48.844414";"000AE"
"2018-734897";"2018-02-22";"1";"Vente";"113000.0";"13.0";"None";"RUE VICTOR HUGO";"0491";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0091";"None";"None";"205";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.642604";"48.844414";"000AE"
"2018-734668";"2018-02-09";"1";"Vente";"214950.0";"17.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0091";"None";"None";"4";"77.53";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"78.0";"4.0";"None";"None";"None";"None";"nan";"2.642604";"48.844414";"000AE"
"2018-734668";"2018-02-09";"1";"Vente";"214950.0";"13.0";"None";"RUE VICTOR HUGO";"0491";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0091";"None";"None";"218";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.642604";"48.844414";"000AE"
"2018-734668";"2018-02-09";"1";"Vente";"214950.0";"17.0";"B";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0091";"None";"None";"73";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.642604";"48.844414";"000AE"
"2018-734634";"2018-02-06";"1";"Vente";"113400.0";"3.0";"None";"RUE CHARLES BAUDELAIRE";"0101";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0061";"None";"None";"224";"68.4";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"70.0";"3.0";"None";"None";"None";"None";"nan";"2.646012";"48.843945";"000AE"
"2018-734634";"2018-02-06";"1";"Vente";"113400.0";"1.0";"None";"RUE CHARLES BAUDELAIRE";"0101";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0061";"None";"None";"260";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.646012";"48.843945";"000AE"
"2018-734650";"2018-02-05";"1";"Vente";"187000.0";"1.0";"None";"RUE CHARLES BAUDELAIRE";"0101";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0061";"None";"None";"212";"79.39";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"80.0";"4.0";"None";"None";"None";"None";"nan";"2.646012";"48.843945";"000AE"
"2018-734650";"2018-02-05";"1";"Vente";"187000.0";"3.0";"None";"RUE CHARLES BAUDELAIRE";"0101";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0061";"None";"None";"291";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.646012";"48.843945";"000AE"
"2018-734188";"2018-01-18";"1";"Vente";"158000.0";"7.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0059";"None";"None";"15";"61.55";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"60.0";"2.0";"None";"None";"None";"None";"nan";"2.644406";"48.844072";"000AE"
"2018-734188";"2018-01-18";"1";"Vente";"158000.0";"7.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0059";"None";"None";"73";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.644406";"48.844072";"000AE"
"2018-733564";"2018-01-09";"1";"Vente";"155000.0";"9.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0059";"None";"None";"27";"62.72";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"63.0";"3.0";"None";"None";"None";"None";"nan";"2.644406";"48.844072";"000AE"
"2017-1084068";"2017-12-20";"1";"Vente";"192000.0";"3.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0057";"None";"None";"16";"70.3";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"69.0";"3.0";"None";"None";"None";"None";"nan";"2.644865";"48.84416";"000AE"
"2017-1084068";"2017-12-20";"1";"Vente";"192000.0";"3.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0057";"None";"None";"54";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.644865";"48.84416";"000AE"
"2017-1083618";"2017-12-01";"1";"Vente";"83000.0";"4.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0097";"None";"None";"321";"19.5";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"19.0";"1.0";"None";"None";"None";"None";"nan";"2.643909";"48.844734";"000AE"
"2017-1083346";"2017-11-30";"1";"Vente";"199000.0";"3.0";"None";"ALL DE LA CARAVELLE";"0084";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0158";"None";"None";"24";"80.88";"34";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"80.0";"4.0";"None";"None";"None";"None";"nan";"2.644128";"48.846618";"000AE"
"2017-1083346";"2017-11-30";"1";"Vente";"199000.0";"3.0";"None";"ALL DE LA CARAVELLE";"0084";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0158";"None";"None";"46";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.644128";"48.846618";"000AE"
"2017-1083596";"2017-11-27";"1";"Vente";"175000.0";"3.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0057";"None";"None";"12";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"69.0";"3.0";"None";"None";"None";"None";"nan";"2.644865";"48.84416";"000AE"
"2017-1083596";"2017-11-27";"1";"Vente";"175000.0";"3.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0057";"None";"None";"58";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.644865";"48.84416";"000AE"
"2017-1082422";"2017-10-24";"1";"Vente";"203500.0";"15.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0091";"None";"None";"30";"65.65";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"66.0";"3.0";"None";"None";"None";"None";"nan";"2.642604";"48.844414";"000AE"
"2017-1082422";"2017-10-24";"1";"Vente";"203500.0";"17.0";"B";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0091";"None";"None";"49";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.642604";"48.844414";"000AE"
"2017-1082794";"2017-10-20";"1";"Vente";"172000.0";"6.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0091";"None";"None";"124";"47.85";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"47.0";"2.0";"None";"None";"None";"None";"nan";"2.642604";"48.844414";"000AE"
"2017-1082794";"2017-10-20";"1";"Vente";"172000.0";"6.0";"None";"RUE JULES VALLES";"0329";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0091";"None";"None";"145";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.642604";"48.844414";"000AE"
"2017-1081971";"2017-10-13";"1";"Vente";"179000.0";"3.0";"None";"ALL DE LA CARAVELLE";"0084";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0158";"None";"None";"21";"65.12";"35";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"66.0";"3.0";"None";"None";"None";"None";"nan";"2.644128";"48.846618";"000AE"
"2017-1081971";"2017-10-13";"1";"Vente";"179000.0";"3.0";"None";"ALL DE LA CARAVELLE";"0084";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0158";"None";"None";"39";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.644128";"48.846618";"000AE"
"2017-1081875";"2017-09-22";"1";"Vente";"250000.0";"10.0";"None";"CRS DE L ARCHE GUEDON";"0008";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0002";"None";"None";"204";"115.21";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"111.0";"6.0";"None";"None";"None";"None";"nan";"2.639724";"48.848981";"000AE"
"2017-1081875";"2017-09-22";"1";"Vente";"250000.0";"9001.0";"None";"RUE DU BEAUREGARD";"0042";"77200";"77468";"Torcy";"77";"None";"None";"77468000AE0002";"None";"None";"112";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.639724";"48.848981";"000AE"
